gs,sr,load,rate
-0.1762558,48828,0,25
-0.5284473,48828,0,25
0.1484201,48828,0,25
0.6369475,48828,0,25
0.09882776,48828,0,25
0.6004608,48828,0,25
0.1736716,48828,0,25
0.2028855,48828,0,25
-0.3008764,48828,0,25
0.03926776,48828,0,25
-0.2314103,48828,0,25
-1.469754,48828,0,25
0.3003473,48828,0,25
-0.3551942,48828,0,25
0.2070571,48828,0,25
-0.5150833,48828,0,25
-1.385324,48828,0,25
-1.441032,48828,0,25
-0.4333606,48828,0,25
-0.5547817,48828,0,25
-1.607862,48828,0,25
-1.465176,48828,0,25
-0.4603225,48828,0,25
0.3929976,48828,0,25
-0.6811745,48828,0,25
0.5376521,48828,0,25
0.03008765,48828,0,25
-0.371081,48828,0,25
0.6115606,48828,0,25
0.1064943,48828,0,25
-0.1942591,48828,0,25
0.6080289,48828,0,25
-0.9191683,48828,0,25
0.2852481,48828,0,25
-0.06624205,48828,0,25
0.2068726,48828,0,25
0.2690291,48828,0,25
0.1044269,48828,0,25
-0.2899735,48828,0,25
-0.5094595,48828,0,25
0.2545206,48828,0,25
-1.335855,48828,0,25
-0.6833034,48828,0,25
-0.4267154,48828,0,25
0.5809807,48828,0,25
0.2239776,48828,0,25
0.04793103,48828,0,25
0.3351481,48828,0,25
0.07476995,48828,0,25
-0.5831712,48828,0,25
-1.042546,48828,0,25
-0.4307517,48828,0,25
-0.540704,48828,0,25
-0.9126955,48828,0,25
-0.3700227,48828,0,25
0.3607072,48828,0,25
-0.1174956,48828,0,25
0.1646883,48828,0,25
-0.452656,48828,0,25
-0.5420329,48828,0,25
-0.6461768,48828,0,25
-0.03243805,48828,0,25
-0.369875,48828,0,25
-0.6498317,48828,0,25
0.02292568,48828,0,25
0.0793354,48828,0,25
-0.2261803,48828,0,25
-0.4401533,48828,0,25
0.1557913,48828,0,25
0.1979632,48828,0,25
-0.4142989,48828,0,25
-0.9816202,48828,0,25
-0.5594087,48828,0,25
0.4467246,48828,0,25
-0.7245032,48828,0,25
-0.4194796,48828,0,25
0.3040883,48828,0,25
0.09690806,48828,0,25
0.2820486,48828,0,25
0.28782,48828,0,25
-0.1692907,48828,0,25
0.05094595,48828,0,25
0.04951848,48828,0,25
-0.1793691,48828,0,25
-0.2731515,48828,0,25
0.2390768,48828,0,25
-0.1242515,48828,0,25
-0.2566864,48828,0,25
-1.007192,48828,0,25
-0.866635,48828,0,25
-0.2593936,48828,0,25
-0.7307422,48828,0,25
-0.07602514,48828,0,25
0.2133208,48828,0,25
-0.05767722,48828,0,25
-0.563002,48828,0,25
0.3786736,48828,0,25
-0.1666203,48828,0,25
-0.254902,48828,0,25
-0.147694,48828,0,25
0.341424,48828,0,25
-1.310086,48828,0,25
-0.1953051,48828,0,25
-0.4319946,48828,0,25
0.1421564,48828,0,25
-0.4145204,48828,0,25
-0.8819803,48828,0,25
-0.9085361,48828,0,25
-0.4859432,48828,0,25
0.9497729,48828,0,25
0.2548897,48828,0,25
0.3136745,48828,0,25
-1.006761,48828,0,25
-0.6074997,48828,0,25
-1.450938,48828,0,25
-1.648692,48828,0,25
-0.9389806,48828,0,25
-0.9852012,48828,0,25
1.557888,48828,0,25
1.836478,48828,0,25
0.7442539,48828,0,25
-0.7106345,48828,0,25
-0.4568646,48828,0,25
-1.74976,48828,0,25
-3.820553,48828,0,25
-1.273919,48828,0,25
2.347821,48828,0,25
3.031986,48828,0,25
-0.4282167,48828,0,25
-0.7619497,48828,0,25
1.201623,48828,0,25
0.4917392,48828,0,25
-2.600557,48828,0,25
-2.885584,48828,0,25
-1.655694,48828,0,25
-0.3422116,48828,0,25
-0.8758889,48828,0,25
0.06759568,48828,0,25
1.052772,48828,0,25
0.7260414,48828,0,25
0.6603284,48828,0,25
0.6178243,48828,0,25
0.1857312,48828,0,25
-0.01080448,48828,0,25
-1.62365,48828,0,25
-1.061792,48828,0,25
1.759973,48828,0,25
2.338185,48828,0,25
0.5518776,48828,0,25
-0.8738707,48828,0,25
0.3236791,48828,0,25
-0.0231718,48828,0,25
-1.924256,48828,0,25
-1.838103,48828,0,25
-0.3353327,48828,0,25
-0.651579,48828,0,25
0.08494684,48828,0,25
1.800238,48828,0,25
0.5114654,48828,0,25
-0.4173999,48828,0,25
-1.283567,48828,0,25
0.8140893,48828,0,25
0.03224116,48828,0,25
-1.094501,48828,0,25
0.5837249,48828,0,25
0.3370185,48828,0,25
-0.5737081,48828,0,25
-0.6526004,48828,0,25
-0.008798636,48828,0,25
0.1662019,48828,0,25
-0.4962554,48828,0,25
-0.2306719,48828,0,25
0.1749144,48828,0,25
-1.802724,48828,0,25
-0.7287979,48828,0,25
0.09795406,48828,0,25
0.6755876,48828,0,25
-0.6276566,48828,0,25
-0.9721078,48828,0,25
-0.5876751,48828,0,25
0.1327671,48828,0,25
-0.1186032,48828,0,25
0.968613,48828,0,25
-6.501664,48828,0,25
-0.1411227,48828,0,25
11.53698,48828,0,25
4.613944,48828,0,25
-8.720138,48828,0,25
-6.791883,48828,0,25
-4.125785,48828,0,25
-1.023263,48828,0,25
17.55402,48828,0,25
15.43554,48828,0,25
-12.01382,48828,0,25
-27.08064,48828,0,25
6.723303,48828,0,25
19.13894,48828,0,25
-1.612624,48828,0,25
-11.43567,48828,0,25
3.538787,48828,0,25
-3.891163,48828,0,25
-9.305549,48828,0,25
11.27788,48828,0,25
16.84806,48828,0,25
-9.350625,48828,0,25
-20.33281,48828,0,25
6.63256,48828,0,25
9.626915,48828,0,25
-4.381032,48828,0,25
-7.311015,48828,0,25
2.160588,48828,0,25
-0.5903454,48828,0,25
-0.6760921,48828,0,25
6.201845,48828,0,25
0.798104,48828,0,25
-7.642189,48828,0,25
-0.1527763,48828,0,25
6.593907,48828,0,25
-1.610815,48828,0,25
-9.432323,48828,0,25
-0.2756742,48828,0,25
5.515404,48828,0,25
1.331917,48828,0,25
-4.779604,48828,0,25
-1.456624,48828,0,25
0.615117,48828,0,25
-1.080436,48828,0,25
2.03705,48828,0,25
5.392678,48828,0,25
-2.704098,48828,0,25
-8.270398,48828,0,25
-1.038313,48828,0,25
3.263789,48828,0,25
1.101011,48828,0,25
-0.7746492,48828,0,25
3.503408,48828,0,25
0.6368736,48828,0,25
-3.433326,48828,0,25
-0.7067705,48828,0,25
2.491651,48828,0,25
-1.532944,48828,0,25
-1.992073,48828,0,25
2.064049,48828,0,25
0.1742992,48828,0,25
-4.908273,48828,0,25
-1.286213,48828,0,25
3.696043,48828,0,25
1.766065,48828,0,25
-2.622634,48828,0,25
-1.548905,48828,0,25
-2.08919,48828,0,25
-1.270437,48828,0,25
1.605757,48828,0,25
2.870337,48828,0,25
-1.030425,48828,0,25
-4.256928,48828,0,25
1.179879,48828,0,25
1.162786,48828,0,25
-0.6560706,48828,0,25
-0.3858233,48828,0,25
-0.01116135,48828,0,25
-0.9118587,48828,0,25
0.177917,48828,0,25
0.6646847,48828,0,25
0.454711,48828,0,25
-1.590461,48828,0,25
-0.06883857,48828,0,25
0.9872686,48828,0,25
-0.6609315,48828,0,25
-2.130747,48828,0,25
-0.1498845,48828,0,25
1.13826,48828,0,25
0.750776,48828,0,25
0.4610609,48828,0,25
0.463399,48828,0,25
-1.510634,48828,0,25
-0.2757727,48828,0,25
0.532619,48828,0,25
-0.2632577,48828,0,25
-1.762939,48828,0,25
-0.7720281,48828,0,25
0.9931138,48828,0,25
-0.5718253,48828,0,25
-0.5109854,48828,0,25
0.2044606,48828,0,25
0.5757877,48828,0,25
-1.15779,48828,0,25
-0.877341,48828,0,25
0.0007629587,48828,0,25
0.8784977,48828,0,25
0.2605381,48828,0,25
-0.1563327,48828,0,25
0.6419683,48828,0,25
-0.4166493,48828,0,25
-1.453129,48828,0,25
0.06282103,48828,0,25
1.708252,48828,0,25
0.7404637,48828,0,25
0.07275181,48828,0,25
-0.8981009,48828,0,25
-0.752868,48828,0,25
0.7139078,48828,0,25
-0.4182859,48828,0,25
-0.3618885,48828,0,25
-0.872997,48828,0,25
-1.063244,48828,0,25
-0.6282473,48828,0,25
-0.1432886,48828,0,25
-0.6929387,48828,0,25
0.1462297,48828,0,25
0.2968032,48828,0,25
0.03667124,48828,0,25
0.2303643,48828,0,25
-1.287493,48828,0,25
0.05110593,48828,0,25
0.1149237,48828,0,25
0.262507,48828,0,25
-0.5014854,48828,0,25
-0.4375937,48828,0,25
-0.5673705,48828,0,25
-0.6619159,48828,0,25
-1.347816,48828,0,25
-0.09404081,48828,0,25
-0.1159697,48828,0,25
0.3029315,48828,0,25
0.3546527,48828,0,25
0.7975011,48828,0,25
0.4893026,48828,0,25
0.07723111,48828,0,25
-0.757175,48828,0,25
-0.6790702,48828,0,25
-0.154573,48828,0,25
-1.492901,48828,0,25
-0.5770183,48828,0,25
-0.2816917,48828,0,25
-0.336637,48828,0,25
-0.1329271,48828,0,25
0.07186579,48828,0,25
-0.05979381,48828,0,25
0.3602149,48828,0,25
-0.05846479,48828,0,25
-0.9943936,48828,0,25
-0.6588517,48828,0,25
-0.5510408,48828,0,25
0.4653556,48828,0,25
0.224716,48828,0,25
0.1211751,48828,0,25
0.6735079,48828,0,25
0.09613279,48828,0,25
0.5142096,48828,0,25
-0.3548743,48828,0,25
0.4900533,48828,0,25
-0.3133299,48828,0,25
-0.2437407,48828,0,25
-0.3421254,48828,0,25
-0.7540001,48828,0,25
-0.2644883,48828,0,25
0.329229,48828,0,25
0.1905797,48828,0,25
0.2152774,48828,0,25
0.2078939,48828,0,25
0.01855712,48828,0,25
0.09133354,48828,0,25
-0.4574307,48828,0,25
0.3268417,48828,0,25
-1.014378,48828,0,25
-0.03685583,48828,0,25
-0.6502993,48828,0,25
0.3940805,48828,0,25
0.6131481,48828,0,25
-0.2106997,48828,0,25
0.6101331,48828,0,25
-0.4748926,48828,0,25
-0.3187814,48828,0,25
-0.2127178,48828,0,25
-0.07416697,48828,0,25
-0.4677306,48828,0,25
-0.189866,48828,0,25
-1.042177,48828,0,25
0.6684256,48828,0,25
0.2653743,48828,0,25
0.3504811,48828,0,25
-0.3659864,48828,0,25
-1.411535,48828,0,25
-0.01955389,48828,0,25
-0.1388339,48828,0,25
-0.5153171,48828,0,25
-0.9675916,48828,0,25
-0.1416888,48828,0,25
-0.8571103,48828,0,25
-0.1429563,48828,0,25
-0.6201378,48828,0,25
0.1780155,48828,0,25
-0.3806548,48828,0,25
-0.5568368,48828,0,25
-0.1213227,48828,0,25
0.06343632,48828,0,25
0.2287769,48828,0,25
0.3065002,48828,0,25
0.234659,48828,0,25
-0.005808331,48828,0,25
0.02295029,48828,0,25
0.5377259,48828,0,25
0.1220242,48828,0,25
-0.08014759,48828,0,25
-0.05218884,48828,0,25
-0.2999535,48828,0,25
0.0746592,48828,0,25
0.448669,48828,0,25
0.3011103,48828,0,25
0.09412695,48828,0,25
-0.6478134,48828,0,25
-0.06033527,48828,0,25
-0.5142218,48828,0,25
-0.549318,48828,0,25
-0.3253527,48828,0,25
-0.33724,48828,0,25
-0.2634546,48828,0,25
-0.3405503,48828,0,25
-0.7795715,48828,0,25
-0.254299,48828,0,25
0.2856665,48828,0,25
-0.317477,48828,0,25
0.07106591,48828,0,25
-0.3247497,48828,0,25
0.3666755,48828,0,25
1.152141,48828,0,25
-0.256588,48828,0,25
-1.341331,48828,0,25
0.6709238,48828,0,25
0.07604975,48828,0,25
0.1121303,48828,0,25
-0.1556436,48828,0,25
-0.3273831,48828,0,25
-0.1582524,48828,0,25
-0.7430848,48828,0,25
-0.07283794,48828,0,25
-0.1926717,48828,0,25
-0.8329171,48828,0,25
0.1165358,48828,0,25
-0.7563382,48828,0,25
-0.7114344,48828,0,25
-0.5000087,48828,0,25
0.5672721,48828,0,25
0.430801,48828,0,25
-0.9548059,48828,0,25
-0.6114991,48828,0,25
-0.4038882,48828,0,25
-0.8958243,48828,0,25
0.1848821,48828,0,25
0.6649185,48828,0,25
-0.3480322,48828,0,25
-0.0876172,48828,0,25
-1.134532,48828,0,25
0.06690656,48828,0,25
-0.6504592,48828,0,25
0.09066903,48828,0,25
0.09258873,48828,0,25
-0.2710719,48828,0,25
-0.5706439,48828,0,25
-0.7049862,48828,0,25
-0.2570063,48828,0,25
-0.2622486,48828,0,25
0.3272601,48828,0,25
-0.9365933,48828,0,25
-0.1371234,48828,0,25
-0.3571631,48828,0,25
-0.7657152,48828,0,25
-0.1272418,48828,0,25
-0.4789658,48828,0,25
-0.2566495,48828,0,25
-0.4548464,48828,0,25
-0.2621132,48828,0,25
0.4321054,48828,0,25
0.06539294,48828,0,25
-0.323396,48828,0,25
0.3957171,48828,0,25
-0.1283863,48828,0,25
-1.281266,48828,0,25
0.4713362,48828,0,25
-0.04971537,48828,0,25
-0.737375,48828,0,25
-0.1603444,48828,0,25
0.5462661,48828,0,25
0.02368864,48828,0,25
-0.5563692,48828,0,25
-0.7740709,48828,0,25
0.01954159,48828,0,25
-0.08504529,48828,0,25
-0.3299796,48828,0,25
-0.6701115,48828,0,25
0.08665734,48828,0,25
-0.7037802,48828,0,25
-0.0355145,48828,0,25
-0.4667461,48828,0,25
0.554068,48828,0,25
0.381344,48828,0,25
-1.066727,48828,0,25
-0.3054173,48828,0,25
0.03178585,48828,0,25
-0.8304929,48828,0,25
-0.5072567,48828,0,25
-0.2930253,48828,0,25
0.6553446,48828,0,25
-0.1145053,48828,0,25
-0.04100288,48828,0,25
0.004811562,48828,0,25
-0.7331664,48828,0,25
-0.3761756,48828,0,25
0.5832081,48828,0,25
-0.2006582,48828,0,25
-0.06823558,48828,0,25
-0.5285581,48828,0,25
0.1662635,48828,0,25
0.1294199,48828,0,25
-0.1405198,48828,0,25
-0.3266694,48828,0,25
-0.2760803,48828,0,25
0.03571139,48828,0,25
0.1306259,48828,0,25
0.4610486,48828,0,25
0.4877644,48828,0,25
0.07559444,48828,0,25
-0.6070075,48828,0,25
-0.4575291,48828,0,25
-0.9094098,48828,0,25
-1.138236,48828,0,25
-1.433784,48828,0,25
-0.9817679,48828,0,25
-1.345281,48828,0,25
-1.115655,48828,0,25
-1.100654,48828,0,25
0.2162003,48828,0,25
-0.0606306,48828,0,25
-1.178845,48828,0,25
0.01834793,48828,0,25
-0.9558642,48828,0,25
-1.257873,48828,0,25
-0.2533638,48828,0,25
-0.5868629,48828,0,25
-0.6980088,48828,0,25
0.8701544,48828,0,25
2.333103,48828,0,25
-2.404907,48828,0,25
-3.762235,48828,0,25
-0.06298101,48828,0,25
-0.6772735,48828,0,25
-2.138906,48828,0,25
-2.206046,48828,0,25
-0.6008792,48828,0,25
-0.5457124,48828,0,25
-1.041119,48828,0,25
1.723733,48828,0,25
1.996872,48828,0,25
-0.9263426,48828,0,25
-2.710571,48828,0,25
0.1460943,48828,0,25
-1.86525,48828,0,25
-2.122453,48828,0,25
-3.179409,48828,0,25
-0.09568979,48828,0,25
