gs,sr,load,rate
-1.151945,48828,100,25
0.5270445,48828,100,25
0.169586,48828,100,25
-1.615467,48828,100,25
-0.200129,48828,100,25
-0.009795406,48828,100,25
-0.8644445,48828,100,25
-1.007487,48828,100,25
0.1717395,48828,100,25
-1.268653,48828,100,25
-2.135878,48828,100,25
-0.7080257,48828,100,25
-0.03441928,48828,100,25
-0.4561386,48828,100,25
-0.4859186,48828,100,25
0.3977353,48828,100,25
0.2398644,48828,100,25
-0.3049743,48828,100,25
0.008724802,48828,100,25
0.304199,48828,100,25
-0.494348,48828,100,25
-0.399175,48828,100,25
-0.6830695,48828,100,25
-1.088656,48828,100,25
0.3064633,48828,100,25
0.296791,48828,100,25
0.9941721,48828,100,25
-0.003667124,48828,100,25
0.05213961,48828,100,25
-0.9631739,48828,100,25
-0.8682716,48828,100,25
0.5103701,48828,100,25
-0.5926713,48828,100,25
0.5332958,48828,100,25
-0.01881555,48828,100,25
-0.09669887,48828,100,25
-0.9692037,48828,100,25
-0.23824,48828,100,25
0.04011686,48828,100,25
0.3146466,48828,100,25
-0.8342338,48828,100,25
-0.2776185,48828,100,25
-0.542599,48828,100,25
0.1384032,48828,100,25
0.1577725,48828,100,25
0.8743384,48828,100,25
0.2916963,48828,100,25
-0.965475,48828,100,25
-0.5686257,48828,100,25
0.5797379,48828,100,25
-0.2319271,48828,100,25
-0.2544959,48828,100,25
0.2673924,48828,100,25
0.2428301,48828,100,25
0.6096779,48828,100,25
-0.8183101,48828,100,25
-1.074517,48828,100,25
0.47173,48828,100,25
1.062186,48828,100,25
-0.1360158,48828,100,25
-0.6063922,48828,100,25
-0.007543446,48828,100,25
-0.498815,48828,100,25
0.08050445,48828,100,25
0.09362242,48828,100,25
-0.2197198,48828,100,25
-0.6722651,48828,100,25
0.1796891,48828,100,25
0.3149912,48828,100,25
-0.8150245,48828,100,25
-1.09268,48828,100,25
-0.6646724,48828,100,25
-0.887321,48828,100,25
-0.6485149,48828,100,25
-0.4368431,48828,100,25
-0.4956401,48828,100,25
-1.299011,48828,100,25
0.2086692,48828,100,25
0.7486594,48828,100,25
-0.9140861,48828,100,25
-0.1447899,48828,100,25
-0.6783934,48828,100,25
0.2760434,48828,100,25
-0.6197686,48828,100,25
-0.107971,48828,100,25
-0.2369233,48828,100,25
0.6926188,48828,100,25
0.2368864,48828,100,25
0.3376215,48828,100,25
-0.5587688,48828,100,25
-0.7883947,48828,100,25
-0.2312134,48828,100,25
-0.09843398,48828,100,25
-0.1574033,48828,100,25
-0.6999407,48828,100,25
0.06017529,48828,100,25
0.2204459,48828,100,25
0.04780798,48828,100,25
-0.8765042,48828,100,25
-0.5959077,48828,100,25
0.2081893,48828,100,25
0.624814,48828,100,25
0.09219494,48828,100,25
-0.1555328,48828,100,25
-0.7029434,48828,100,25
-0.2821717,48828,100,25
-0.5314746,48828,100,25
0.1720103,48828,100,25
-0.1962896,48828,100,25
0.1169788,48828,100,25
0.01543146,48828,100,25
-0.4230114,48828,100,25
0.1630886,48828,100,25
-0.8490254,48828,100,25
-1.321334,48828,100,25
0.1254575,48828,100,25
0.486337,48828,100,25
0.2355697,48828,100,25
-0.07426541,48828,100,25
0.9242506,48828,100,25
0.5115269,48828,100,25
-0.04523607,48828,100,25
-1.078737,48828,100,25
-0.3134653,48828,100,25
-0.23808,48828,100,25
0.1894476,48828,100,25
0.7090471,48828,100,25
-0.0206245,48828,100,25
-0.402756,48828,100,25
-0.4276137,48828,100,25
0.05060139,48828,100,25
-0.2366772,48828,100,25
-1.227637,48828,100,25
-2.337226,48828,100,25
-0.4671153,48828,100,25
0.3134284,48828,100,25
0.1639623,48828,100,25
-0.4210178,48828,100,25
0.1162404,48828,100,25
-0.1477802,48828,100,25
-0.296754,48828,100,25
0.2109088,48828,100,25
-0.6531172,48828,100,25
-0.1558651,48828,100,25
0.1733639,48828,100,25
0.9877362,48828,100,25
0.1284601,48828,100,25
0.1644299,48828,100,25
-0.8132032,48828,100,25
-0.04554371,48828,100,25
1.062629,48828,100,25
-0.05218884,48828,100,25
-0.7408206,48828,100,25
-1.679457,48828,100,25
-0.5250879,48828,100,25
0.295265,48828,100,25
0.9894344,48828,100,25
-0.9160427,48828,100,25
-0.856655,48828,100,25
0.9417125,48828,100,25
-0.7152246,48828,100,25
-0.0680633,48828,100,25
-0.3490905,48828,100,25
0.1704844,48828,100,25
-0.4188643,48828,100,25
-0.8888592,48828,100,25
-0.8587223,48828,100,25
-0.6704561,48828,100,25
-0.04486689,48828,100,25
0.3430607,48828,100,25
-0.8935847,48828,100,25
0.8463673,48828,100,25
0.3827715,48828,100,25
-0.3736529,48828,100,25
0.08820787,48828,100,25
0.3207503,48828,100,25
-0.2288753,48828,100,25
-0.05314869,48828,100,25
1.103608,48828,100,25
-0.560627,48828,100,25
-0.09960303,48828,100,25
0.2241745,48828,100,25
0.4226176,48828,100,25
-0.7422112,48828,100,25
0.545417,48828,100,25
-0.1573541,48828,100,25
-0.1325579,48828,100,25
-0.019357,48828,100,25
0.5445679,48828,100,25
0.4017839,48828,100,25
-0.2987599,48828,100,25
-1.062605,48828,100,25
-1.268714,48828,100,25
-0.8205867,48828,100,25
-0.5388334,48828,100,25
-0.174053,48828,100,25
-0.3537175,48828,100,25
-0.3291798,48828,100,25
-0.8778332,48828,100,25
-1.126164,48828,100,25
0.09591129,48828,100,25
-1.286459,48828,100,25
-0.5708408,48828,100,25
-0.6140833,48828,100,25
-0.4715085,48828,100,25
-0.6781595,48828,100,25
0.02000921,48828,100,25
0.1101737,48828,100,25
-0.01041069,48828,100,25
-0.08337169,48828,100,25
0.1088201,48828,100,25
0.929013,48828,100,25
1.256039,48828,100,25
0.1154406,48828,100,25
0.4955294,48828,100,25
0.4941265,48828,100,25
1.050311,48828,100,25
0.09219494,48828,100,25
